HKG-LGA,1502840,19,79096.84,945,HKG,LGA,HK,US,260,international
SJC-HNL,1502466,19,79077.16,946,SJC,HNL,US,US,261,domestic
EWR-DFW,1497800,19,78831.58,948,EWR,DFW,US,US,262,domestic
SEA-BUR,1494383,19,78651.734,950,SEA,BUR,US,US,263,domestic
LHR-ORD,1488517,19,78343.0,956,LHR,ORD,GB,US,264,international
EWR-SAN,1483504,19,78079.16,959,EWR,SAN,US,US,265,domestic
LAX-CDG,1481890,19,77994.21,963,LAX,CDG,US,FR,266,international
SFO-LHR,1481600,19,77978.945,964,SFO,LHR,US,GB,267,international
ORD-MIA,1478221,19,77801.1,965,ORD,MIA,US,US,268,domestic
BOM-EWR,1477522,19,77764.31,966,BOM,EWR,IN,US,269,international
JFK-SAN,1476995,19,77736.58,968,JFK,SAN,US,US,270,domestic
EWR-FCO,1472751,19,77513.21,971,EWR,FCO,US,IT,271,international
PVG-LAX,1471718,19,77458.84,973,PVG,LAX,CN,US,272,international
PVG-EWR,1466050,18,77160.52,976,PVG,EWR,CN,US,273,international
SEA-OAK,1463380,19,77020.0,981,SEA,OAK,US,US,274,domestic
BUR-SEA,1460752,19,76881.69,984,BUR,SEA,US,US,275,domestic
LAX-SLC,1456163,19,76640.16,989,LAX,SLC,US,US,276,domestic
DXB-JFK,1455546,19,76607.69,990,DXB,JFK,AE,US,277,international
LAX-BKK,1445954,19,76102.84,997,LAX,BKK,US,TH,278,international
SEA-ONT,1444242,19,76012.734,1000,SEA,ONT,US,US,279,domestic
BUR-HNL,1442458,19,75918.84,1001,BUR,HNL,US,US,280,domestic
LHR-LAS,1433586,19,75451.9,1008,LHR,LAS,GB,US,281,international
ATL-FLL,1432048,19,75370.945,1010,ATL,FLL,US,US,282,domestic
EWR-BCN,1422600,19,74873.69,1014,EWR,BCN,US,ES,283,international
ONT-SEA,1418340,19,74649.48,1016,ONT,SEA,US,US,284,domestic
EWR-MEX,1416590,19,74557.37,1017,EWR,MEX,US,MX,285,international
LGW-BOS,1412820,19,74358.945,1021,LGW,BOS,GB,US,286,international
DXB-EWR,1411824,19,74306.52,1022,DXB,EWR,AE,US,287,international
LIN-LGA,1410339,19,74228.37,1024,LIN,LGA,IT,US,288,international
JFK-LIN,1410239,19,74223.1,1025,JFK,LIN,US,IT,289,international
HNL-SNA,1407536,19,74080.84,1028,HNL,SNA,US,US,290,domestic
SIN-JFK,1401728,19,73775.16,1035,SIN,JFK,SG,US,291,international
OAK-SEA,1398396,19,73599.79,1038,OAK,SEA,US,US,292,domestic
EWR-ICN,1396473,19,73498.58,1041,EWR,ICN,US,KR,293,international
JFK-DFW,1394326,19,73385.58,1042,JFK,DFW,US,US,294,domestic
LGA-DFW,1380060,19,72634.734,1053,LGA,DFW,US,US,295,domestic
TLV-LGA,1378144,19,72533.9,1057,TLV,LGA,IL,US,296,international
DEL-LGA,1376821,19,72464.266,1060,DEL,LGA,IN,US,297,international
SAN-SJC,1375015,19,72369.21,1062,SAN,SJC,US,US,298,domestic
OAK-SAN,1372922,19,72259.055,1064,OAK,SAN,US,US,299,domestic
AMS-LGA,1369914,19,72100.734,1067,AMS,LGA,NL,US,300,international
SNA-SJC,1363598,18,71768.31,1071,SNA,SJC,US,US,301,domestic
EWR-IAH,1360385,19,71599.21,1078,EWR,IAH,US,US,302,domestic
JFK-BKK,1358773,19,71514.37,1081,JFK,BKK,US,TH,303,international
OAK-HNL,1349631,19,71033.21,1087,OAK,HNL,US,US,304,domestic
SNA-ORD,1348668,19,70982.52,1088,SNA,ORD,US,US,305,domestic
LGA-SAN,1345449,19,70813.1,1090,LGA,SAN,US,US,306,domestic
HNL-ICN,1344103,19,70742.266,1091,HNL,ICN,US,KR,307,international
FRA-LGA,1343501,19,70710.58,1092,FRA,LGA,DE,US,308,international
SNA-NRT,1342662,19,70666.42,1096,SNA,NRT,US,JP,309,international
EWR-BOS,1338335,19,70438.69,1098,EWR,BOS,US,US,310,domestic
LAX-FLL,1334266,19,70224.52,1103,LAX,FLL,US,US,311,domestic
LGB-LAS,1331562,19,70082.21,1108,LGB,LAS,US,US,312,domestic
LAX-SYD,1330481,19,70025.31,1109,LAX,SYD,US,AU,313,international
DUB-LGA,1328699,19,69931.52,1110,DUB,LGA,IE,US,314,international
MIA-ORD,1316285,19,69278.16,1123,MIA,ORD,US,US,315,domestic
IAD-LHR,1314989,19,69209.945,1124,IAD,LHR,US,GB,316,international
BCN-LGA,1307745,19,68828.69,1135,BCN,LGA,ES,US,317,international
MEX-SNA,1307714,19,68827.055,1136,MEX,SNA,MX,US,318,international
LGA-IAH,1307116,19,68795.58,1137,LGA,IAH,US,US,319,domestic
EWR-BNA,1300607,19,68453.0,1143,EWR,BNA,US,US,320,domestic
LHR-FLL,1299827,19,68411.945,1144,LHR,FLL,GB,US,321,international
ORD-LAX,1299719,19,68406.266,1145,ORD,LAX,US,US,322,domestic
MEX-MIA,1296755,19,68250.266,1149,MEX,MIA,MX,US,323,international
JFK-BOS,1294862,19,68150.63,1152,JFK,BOS,US,US,324,domestic
EWR-SJU,1292485,19,68025.52,1156,EWR,SJU,US,US,325,domestic
MIA-MAD,1283476,19,67551.37,1166,MIA,MAD,US,ES,326,international
LAX-TPE,1283460,19,67550.52,1167,LAX,TPE,US,TW,327,international
SNA-MEX,1274573,19,67082.79,1176,SNA,MEX,US,MX,328,international
LAS-ONT,1271036,19,66896.63,1180,LAS,ONT,US,US,329,domestic
SFO-ORD,1266281,19,66646.37,1191,SFO,ORD,US,US,330,domestic
LAX-AUS,1263990,19,66525.79,1193,LAX,AUS,US,US,331,domestic
DCA-LAX,1260885,19,66362.37,1198,DCA,LAX,US,US,332,domestic
ONT-SJC,1260341,17,66333.734,1199,ONT,SJC,US,US,333,domestic
LGA-BOS,1255018,19,66053.58,1202,LGA,BOS,US,US,334,domestic
LGA-MEX,1254205,19,66010.79,1203,LGA,MEX,US,MX,335,international
ORD-FLL,1253920,19,65995.79,1204,ORD,FLL,US,US,336,domestic
EWR-DEN,1253279,19,65962.055,1205,EWR,DEN,US,US,337,domestic
SEA-IST,1251715,19,65879.734,1207,SEA,IST,US,TR,338,international
BOS-EWR,1247345,19,65649.734,1212,BOS,EWR,US,US,339,domestic
BWI-LAX,1243940,19,65470.527,1217,BWI,LAX,US,US,340,domestic
MNL-LAX,1237168,19,65114.105,1225,MNL,LAX,PH,US,341,international
IAD-LAX,1236839,19,65096.79,1227,IAD,LAX,US,US,342,domestic
SIN-EWR,1235128,19,65006.74,1229,SIN,EWR,SG,US,343,international
LAX-PHX,1234160,19,64955.79,1230,LAX,PHX,US,US,344,domestic
BOS-JFK,1233017,19,64895.633,1232,BOS,JFK,US,US,345,domestic
LGA-BNA,1229481,19,64709.527,1234,LGA,BNA,US,US,346,domestic
LHR-IAD,1222322,19,64332.74,1241,LHR,IAD,GB,US,347,international
ONT-YVR,1219992,19,64210.105,1244,ONT,YVR,US,CA,348,international
HKG-ORD,1219110,19,64163.684,1245,HKG,ORD,HK,US,349,international
TPE-JFK,1218063,19,64108.58,1246,TPE,JFK,TW,US,350,international
SFO-MNL,1216927,19,64048.79,1249,SFO,MNL,US,PH,351,international
LGB-JFK,1214222,19,63906.42,1252,LGB,JFK,US,US,352,domestic
SNA-LHR,1214123,19,63901.21,1253,SNA,LHR,US,GB,353,international
LCY-EWR,1213340,19,63860.0,1257,LCY,EWR,GB,US,354,international
LAS-EWR,1203210,19,63326.844,1264,LAS,EWR,US,US,355,domestic
LGA-YTZ,1201679,19,63246.26,1267,LGA,YTZ,US,CA,356,international
LAS-JFK,1198750,19,63092.105,1269,LAS,JFK,US,US,357,domestic
LCY-LAX,1197261,19,63013.74,1273,LCY,LAX,GB,US,358,international
EWR-LIN,1194181,19,62851.633,1274,EWR,LIN,US,IT,359,international
SEA-LAS,1192386,19,62757.156,1275,SEA,LAS,US,US,360,domestic
SAN-EWR,1192342,19,62754.844,1276,SAN,EWR,US,US,361,domestic
