market,origin,dest,OriginAirport,DestinationAirport,market_key
KWI-SAW,KWI,SAW,186059008,318838528,186059008-318838528
KKC-BKK,KKC,BKK,185271040,34278144,185271040-34278144
GMP-SIN,GMP,SIN,118296576,319360512,118296576-319360512
LIN-EWR,LIN,EWR,201920000,85398016,201920000-85398016
JFK-SNA,JFK,SNA,168168192,319684864,168168192-319684864
HND-ICN,HND,ICN,135136256,151195136,135136256-151195136
DME-AYT,DME,AYT,67962112,18420736,67962112-18420736
MNL-NRT,MNL,NRT,219024384,236065792,219024384-236065792
MAN-BKK,MAN,BKK,218172928,34278144,218172928-34278144
BKK-HKG,BKK,HKG,34278144,134940416,34278144-134940416
LGA-FLL,LGA,FLL,201785600,101452800,201785600-101452800
SJC-LAX,SJC,LAX,319423232,201398272,319423232-201398272
DXB-VKO,DXB,VKO,68682240,369823488,68682240-369823488
LHR-LAX,LHR,LAX,201855488,201398272,201855488-201398272
LGA-LHR,LGA,LHR,201785600,201855488,201785600-201855488
HKG-YVR,HKG,YVR,134940416,420876800,134940416-420876800
BOM-LGW,BOM,LGW,34540800,201791232,34540800-201791232
DXB-BOM,DXB,BOM,68682240,34540800,68682240-34540800
BKK-HAN,BKK,HAN,34278144,134286848,34278144-134286848
SYD-BKK,SYD,BKK,320406528,34278144,320406528-34278144
CGK-ICN,CGK,ICN,50793216,151195136,50793216-151195136
BNE-MEL,BNE,MEL,34473216,218434560,34473216-218434560
LGA-LAX,LGA,LAX,201785600,201398272,201785600-201398272
DEL-GOI,DEL,GOI,67439616,118425856,67439616-118425856
CGK-NRT,CGK,NRT,50793216,236065792,50793216-236065792
ICN-LCY,ICN,LCY,151195136,201529600,151195136-201529600
DEL-HYD,DEL,HYD,67439616,135857152,67439616-135857152
ICN-EWR,ICN,EWR,151195136,85398016,151195136-85398016
JFK-ATL,JFK,ATL,168168192,18091008,168168192-18091008
DFW-EWR,DFW,EWR,67507968,85398016,67507968-85398016
ICN-STN,ICN,STN,151195136,320081408,151195136-320081408
BUR-LGA,BUR,LGA,34935296,201785600,34935296-201785600
KUL-SGN,KUL,SGN,185928704,319229440,185928704-319229440
MXP-IST,MXP,IST,219680768,152245248,219680768-152245248
DPS-KUL,DPS,KUL,68162304,185928704,68162304-185928704
MCO-EWR,MCO,EWR,218304256,85398016,218304256-85398016
BKK-SAW,BKK,SAW,34278144,318838528,34278144-318838528
JFK-ICN,JFK,ICN,168168192,151195136,168168192-151195136
SYD-LAX,SYD,LAX,320406528,201398272,320406528-201398272
SFO-SAN,SFO,SAN,319164160,318836224,319164160-318836224
CGN-SAW,CGN,SAW,50793984,318838528,50793984-318838528
EWR-MAD,EWR,MAD,85398016,218170368,85398016-218170368
LHR-MXP,LHR,MXP,201855488,219680768,201855488-219680768
VKO-BJV,VKO,BJV,369823488,34215424,369823488-34215424
CGN-IST,CGN,IST,50793984,152245248,50793984-152245248
CAI-SAW,CAI,SAW,50399488,318838528,50399488-318838528
XNB-LHR,XNB,LHR,403571200,201855488,403571200-201855488
LAX-YVR,LAX,YVR,201398272,420876800,201398272-420876800
KUL-KCH,KUL,KCH,185928704,184748032,185928704-184748032
EWR-SNA,EWR,SNA,85398016,319684864,85398016-319684864
BUR-SFO,BUR,SFO,34935296,319164160,34935296-319164160
SFO-JFK,SFO,JFK,319164160,168168192,319164160-168168192
HDY-BKK,HDY,BKK,134486272,34278144,134486272-34278144
SFO-EWR,SFO,EWR,319164160,85398016,319164160-85398016
LCY-DXB,LCY,DXB,201529600,68682240,201529600-68682240
CGK-KUL,CGK,KUL,50793216,185928704,50793216-185928704
STN-DEL,STN,DEL,320081408,67439616,320081408-67439616
ONT-SFO,ONT,SFO,252580864,319164160,252580864-319164160
LED-IST,LED,IST,201655296,152245248,201655296-152245248
BOM-DEL,BOM,DEL,34540800,67439616,34540800-67439616
LHR-DPS,LHR,DPS,201855488,68162304,201855488-68162304
DXB-DME,DXB,DME,68682240,67962112,68682240-67962112
KBV-BKK,KBV,BKK,184686080,34278144,184686080-34278144
DXB-MNL,DXB,MNL,68682240,219024384,68682240-219024384
DEL-STN,DEL,STN,67439616,320081408,67439616-320081408
LAX-LGA,LAX,LGA,201398272,201785600,201398272-201785600
MAN-ISB,MAN,ISB,218172928,152240640,218172928-152240640
LIN-JFK,LIN,JFK,201920000,168168192,201920000-168168192
SYD-SIN,SYD,SIN,320406528,319360512,320406528-319360512
LHR-HND,LHR,HND,201855488,135136256,201855488-135136256
LHR-KUL,LHR,KUL,201855488,185928704,201855488-185928704
LHR-MEL,LHR,MEL,201855488,218434560,201855488-218434560
BKK-KUL,BKK,KUL,34278144,185928704,34278144-185928704
NRT-MNL,NRT,MNL,236065792,219024384,236065792-219024384
SGN-SIN,SGN,SIN,319229440,319360512,319229440-319360512
VKO-MLE,VKO,MLE,369823488,218891520,369823488-218891520
MEL-BNE,MEL,BNE,218434560,34473216,218434560-34473216
HND-HAN,HND,HAN,135136256,134286848,135136256-134286848
LHR-LHE,LHR,LHE,201855488,201852160,201855488-201852160
HND-MNL,HND,MNL,135136256,219024384,135136256-219024384
SFO-SNA,SFO,SNA,319164160,319684864,319164160-319684864
KIX-ICN,KIX,ICN,185145344,151195136,185145344-151195136
FLL-JFK,FLL,JFK,101452800,168168192,101452800-168168192
EWR-MCO,EWR,MCO,85398016,218304256,85398016-218304256
BOM-STN,BOM,STN,34540800,320081408,34540800-320081408
SAW-STN,SAW,STN,318838528,320081408,318838528-320081408
BKK-CDG,BKK,CDG,34278144,50595584,34278144-50595584
CEI-BKK,CEI,BKK,50661632,34278144,50661632-34278144
LAX-OAK,LAX,OAK,201398272,251726592,201398272-251726592
IST-LGW,IST,LGW,152245248,201791232,152245248-201791232
LCY-DEL,LCY,DEL,201529600,67439616,201529600-67439616
HKG-TPE,HKG,TPE,134940416,336594176,134940416-336594176
EWR-CDG,EWR,CDG,85398016,50595584,85398016-50595584
DXB-LCY,DXB,LCY,68682240,201529600,68682240-201529600
MEL-OOL,MEL,OOL,218434560,252644352,218434560-252644352
DMK-HDY,DMK,HDY,67963648,134486272,67963648-134486272
